2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/reporting/maven-reporting-api/3.1.1/maven-reporting-api-3.1.1.pom (3.8 kB at 78 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/shared/maven-shared-components/34/maven-shared-components-34.pom
2025.11.08 17:32:07 INFO  Progress (1): 772 B
2025.11.08 17:32:07 INFO  Progress (1): 2.3 kB
2025.11.08 17:32:07 INFO  Progress (1): 4.6 kB
2025.11.08 17:32:07 INFO  Progress (1): 5.1 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/shared/maven-shared-components/34/maven-shared-components-34.pom (5.1 kB at 104 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/doxia/doxia-sink-api/1.11.1/doxia-sink-api-1.11.1.pom
2025.11.08 17:32:07 INFO  Progress (1): 828 B
2025.11.08 17:32:07 INFO  Progress (1): 1.6 kB
2025.11.08 17:32:07 INFO                      
2025.11.08 17:32:07 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/doxia/doxia-sink-api/1.11.1/doxia-sink-api-1.11.1.pom (1.6 kB at 23 kB/s)
2025.11.08 17:32:07 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/doxia/doxia/1.11.1/doxia-1.11.1.pom
2025.11.08 17:32:07 INFO  Progress (1): 745 B
2025.11.08 17:32:07 INFO  Progress (1): 2.2 kB
2025.11.08 17:32:07 INFO  Progress (1): 3.7 kB
2025.11.08 17:32:07 INFO  Progress (1): 8.9 kB
2025.11.08 17:32:07 INFO  Progress (1): 12 kB 
2025.11.08 17:32:07 INFO  Progress (1): 16 kB
2025.11.08 17:32:07 INFO  Progress (1): 18 kB
2025.11.08 17:32:07 INFO                     
